state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
CT,Litchfield County,9482,40214,37265,47658
CT,Middlesex County,6904,30810,31320,50299
CT,New Haven County,59146,183255,145797,209002
CT,New London County,14425,55525,55371,62636
CT,Tolland County,4786,25936,25192,40173
CT,Windham County,9439,26994,25154,19805
DE,Delaware,66816,209449,178917,214138
DE,Kent County,14834,38843,36347,28030
DE,New Castle County,32032,118233,94434,138627
DE,Sussex County,19950,52373,48136,47481
DC,District of Columbia,44850,83185,76822,289259
DC,District of Columbia,44850,83185,76822,289259
FL,Florida,1767583,4276237,4450224,4471701
FL,Alachua County,11957,34349,45426,70092
FL,Baker County,2726,8115,5699,2525
FL,Bay County,11994,39827,46154,30463
FL,Bradford County,4049,8036,5835,1959
FL,Brevard County,33886,122936,146837,131166
FL,Broward County,150481,372500,397726,441489
FL,Calhoun County,2431,4375,2717,1001
FL,Charlotte County,14035,51644,48724,35031
FL,Citrus County,13432,42963,37992,21141
FL,Clay County,11852,44850,51802,36062
FL,Collier County,36295,72916,70200,102709
FL,Columbia County,6721,17782,16754,7198
FL,DeSoto County,6993,11586,4806,3049
FL,Dixie County,2701,5420,3104,1302
FL,Duval County,65245,177939,204275,192175
FL,Escambia County,20096,57442,77512,56000
FL,Flagler County,6514,28792,27508,21038
FL,Franklin County,1764,3154,2493,1712
FL,Gadsden County,6485,11639,8812,5215
FL,Gilchrist County,1793,5168,3666,1642
FL,Glades County,2604,3902,2567,1139
FL,Gulf County,1739,4283,3632,2300
FL,Hamilton County,2801,4711,2053,823
FL,Hardee County,3991,8576,3117,1786
FL,Hendry County,8647,8659,6235,2130
FL,Hernando County,16900,49113,47711,25716
FL,Highlands County,11274,30650,23513,13591
FL,Hillsborough County,110378,264095,272909,326431
FL,Holmes County,3001,5727,3843,1509
FL,Indian River County,12609,36070,35313,34512
FL,Jackson County,6848,13490,10340,4416
FL,Jefferson County,1980,3809,2744,2447
FL,Lafayette County,1469,2308,1463,698
FL,Lake County,26877,82048,85538,61408
FL,Lee County,64308,171793,162039,156706
FL,Leon County,11158,32737,48716,79612
FL,Levy County,4476,12179,9351,3609
FL,Liberty County,1111,2731,1262,858
FL,Madison County,2582,5400,3707,1906
FL,Manatee County,29576,86265,85719,85483
FL,Marion County,32755,97192,80597,53003
FL,Martin County,11083,30513,39239,41795
FL,Miami-Dade County,355100,522159,466710,570125
FL,Monroe County,5105,15888,18032,20467
FL,Nassau County,5316,19369,18344,18053
FL,Okaloosa County,10654,34653,51191,43580
FL,Okeechobee County,6608,11434,7627,3283
FL,Orange County,103704,220379,267476,312816
FL,Osceola County,30805,72560,78185,50606
FL,Palm Beach County,123394,257316,297944,393340
FL,Pasco County,40030,126435,122704,91560
FL,Pinellas County,64593,207322,234393,235088
FL,Polk County,71051,165074,143280,95851
FL,Putnam County,9501,21550,14794,6432
FL,St. Johns County,8976,37117,49792,77518
FL,St. Lucie County,31108,75469,71562,49132
FL,Santa Rosa County,10582,32739,44953,33892
FL,Sarasota County,23136,96873,96364,118657
FL,Seminole County,18561,68681,109047,128662
FL,Sumter County,8817,34071,33639,35684
FL,Suwannee County,5499,12119,8700,4817
FL,Taylor County,3418,7055,4283,1344
FL,Union County,2636,4194,3356,1032
FL,Volusia County,37726,126218,139261,94124
FL,Wakulla County,2865,8451,7749,4278
FL,Walton County,5429,14252,16072,14275
FL,Washington County,3352,7175,5116,2238
GA,Georgia,885498,1909067,1936098,2157616
GA,Appling County,3081,4758,3241,1208
GA,Atkinson County,1705,1805,1054,636
GA,Bacon County,1318,3116,2151,769
GA,Baker County,436,852,671,290
GA,Baldwin County,4004,9873,7737,6556
GA,Banks County,3125,4926,3171,1736
GA,Barrow County,8031,17703,16328,9857
GA,Bartow County,11501,23463,22190,13091
GA,Ben Hill County,1838,5052,3016,1255
GA,Berrien County,2767,5597,3319,1510
GA,Bibb County,13999,30466,30093,25373
GA,Bleckley County,898,3212,2270,1471
GA,Brantley County,2700,5691,3246,1131
GA,Brooks County,1645,3875,3580,1965
GA,Bryan County,1955,5675,7987,7740
GA,Bulloch County,5384,11591,14110,11472
GA,Burke County,2933,5644,4201,1950
GA,Butts County,3295,7593,4017,2078
GA,Calhoun County,1277,1729,1275,429
GA,Camden County,2917,10824,11859,8029
GA,Candler County,1633,2685,1943,936
GA,Carroll County,11397,24742,22367,15625
GA,Catoosa County,5755,15115,15257,9832
GA,Charlton County,2365,3670,2304,806
GA,Chatham County,19626,47070,62379,65257
GA,Chattahoochee County,293,1452,1867,1510
GA,Chattooga County,4477,6862,4240,1528
GA,Cherokee County,13131,37271,52311,63567
GA,Clarke County,8525,14117,17071,31201
GA,Clay County,439,797,686,275
GA,Clayton County,26680,59157,55653,34324
GA,Clinch County,1366,1503,1119,443
GA,Cobb County,39843,93253,132007,238686
GA,Coffee County,6852,10497,7193,3675
GA,Colquitt County,7447,11456,6821,3764
GA,Columbia County,7261,23829,32576,36382
GA,Cook County,2358,4108,3311,1525
GA,Coweta County,10388,27378,29057,28989
GA,Crawford County,1468,3483,2839,916
GA,Crisp County,2603,5698,4704,2136
GA,Dade County,2139,4191,3096,1685
GA,Dawson County,2247,5102,4812,5364
GA,Decatur County,3101,6520,5679,2444
GA,DeKalb County,54396,106359,123876,225060
GA,Dodge County,2143,6570,4036,2123
GA,Dooly County,2214,4073,2432,1200
GA,Dougherty County,9579,17371,18284,12306
GA,Douglas County,11300,28110,27097,26093
GA,Early County,1338,2535,1924,1029
GA,Echols County,721,1170,628,271
GA,Effingham County,4608,14781,12148,7896
GA,Elbert County,2885,5470,3461,1557
GA,Emanuel County,3186,6076,3681,1938
GA,Evans County,1716,2800,1555,1136
GA,Fannin County,2624,6556,6131,4262
GA,Fayette County,3559,15941,21497,35275
GA,Floyd County,11383,22254,17642,13537
GA,Forsyth County,10430,23028,35924,78687
GA,Franklin County,2748,6103,4185,2469
GA,Fulton County,52085,124030,153992,370539
GA,Gilmer County,4076,7894,5769,4559
GA,Glascock County,444,835,525,237
